Hum_C2_Y1_M5_L3: {'room': 'CB5.12', 'time': 'WED12:15'}
Hum_C1_Y1_M3_L1: {'room': 'CB3.5', 'time': 'TUE13:15'}
Hum_C1_Y1_M3_L2: {'room': 'CB3.5', 'time': 'TUE14:15'}
Hum_C1_Y1_M3_L3: {'room': 'CB3.5', 'time': 'TUE15:15'}
Sci_C3_Y1_M3_L1: {'room': 'CB4.17', 'time': 'MON13:15'}
Sci_C3_Y1_M3_L2: {'room': 'CB4.17', 'time': 'MON14:15'}
Sci_C3_Y1_M3_L3: {'room': 'CB4.17', 'time': 'MON15:15'}
Sci_C2_Y1_M2_L1: {'room': 'CB1.11', 'time': 'MON10:15'}
Sci_C2_Y1_M2_L2: {'room': 'CB1.11', 'time': 'MON11:15'}
Sci_C2_Y1_M2_L3: {'room': 'CB1.11', 'time': 'MON12:15'}
Sci_C3_Y1_M5_L1: {'room': 'CB3.5', 'time': 'TUE10:15'}
Sci_C3_Y1_M5_L2: {'room': 'CB3.5', 'time': 'TUE11:15'}
Sci_C3_Y1_M5_L3: {'room': 'CB3.5', 'time': 'TUE12:15'}
Sci_C3_Y4_M4_L1: {'room': 'CB4.6', 'time': 'WED10:15'}
Sci_C3_Y4_M4_L2: {'room': 'CB4.6', 'time': 'WED11:15'}
Sci_C3_Y4_M4_L3: {'room': 'CB4.6', 'time': 'WED12:15'}
Hum_C3_Y1_M1_L1: {'room': 'CB4.16', 'time': 'WED10:15'}
Hum_C3_Y1_M1_L2: {'room': 'CB4.16', 'time': 'WED11:15'}
Hum_C3_Y1_M1_L3: {'room': 'CB4.16', 'time': 'WED12:15'}
Sci_C1_Y1_M2_L1: {'room': 'CB1.10', 'time': 'MON10:15'}
Sci_C1_Y1_M2_L2: {'room': 'CB1.10', 'time': 'MON11:15'}
Sci_C1_Y1_M2_L3: {'room': 'CB1.10', 'time': 'MON12:15'}
Sci_C1_Y4_M3_L1: {'room': 'CB2.6', 'time': 'MON13:15'}
Sci_C1_Y4_M3_L2: {'room': 'CB2.6', 'time': 'MON14:15'}
Sci_C1_Y4_M3_L3: {'room': 'CB2.6', 'time': 'MON15:15'}
Sci_C1_Y1_M3_L1: {'room': 'CB1.12', 'time': 'MON13:15'}
Sci_C1_Y1_M3_L2: {'room': 'CB1.12', 'time': 'MON14:15'}
Sci_C1_Y1_M3_L3: {'room': 'CB1.12', 'time': 'MON15:15'}
Sci_C4_Y1_M3_L1: {'room': 'CB1.11', 'time': 'MON13:15'}
Sci_C4_Y1_M3_L2: {'room': 'CB1.11', 'time': 'MON14:15'}
Sci_C4_Y1_M3_L3: {'room': 'CB1.11', 'time': 'MON15:15'}
Sci_C2_Y1_M3_L1: {'room': 'CB1.10', 'time': 'MON13:15'}
Sci_C2_Y1_M3_L2: {'room': 'CB1.10', 'time': 'MON14:15'}
Sci_C2_Y1_M3_L3: {'room': 'CB1.10', 'time': 'MON15:15'}
Sci_C1_Y1_M4_L1: {'room': 'CB5.13', 'time': 'TUE10:15'}
Sci_C1_Y1_M4_L2: {'room': 'CB5.13', 'time': 'TUE11:15'}
Sci_C1_Y1_M4_L3: {'room': 'CB5.13', 'time': 'TUE12:15'}
Sci_C4_Y1_M2_L1: {'room': 'CB4.17', 'time': 'TUE10:15'}
Sci_C4_Y1_M2_L2: {'room': 'CB4.17', 'time': 'TUE11:15'}
Sci_C4_Y1_M2_L3: {'room': 'CB4.17', 'time': 'TUE12:15'}
Hum_C4_Y2_M5_L1: {'room': 'CB2.6', 'time': 'TUE10:15'}
Hum_C4_Y2_M5_L2: {'room': 'CB2.6', 'time': 'TUE11:15'}
Hum_C4_Y2_M5_L3: {'room': 'CB2.6', 'time': 'TUE12:15'}
Hum_C1_Y1_M4_L1: {'room': 'CB5.1', 'time': 'WED10:15'}
Hum_C1_Y1_M4_L2: {'room': 'CB5.1', 'time': 'WED11:15'}
Hum_C1_Y1_M4_L3: {'room': 'CB5.1', 'time': 'WED12:15'}
Sci_C3_Y2_M5_L1: {'room': 'CB1.12', 'time': 'TUE10:15'}
Sci_C3_Y2_M5_L2: {'room': 'CB1.12', 'time': 'TUE11:15'}
Sci_C3_Y2_M5_L3: {'room': 'CB1.12', 'time': 'TUE12:15'}
Sci_C1_Y1_M5_L1: {'room': 'CB5.13', 'time': 'TUE13:15'}
Sci_C1_Y1_M5_L2: {'room': 'CB5.13', 'time': 'TUE14:15'}
Sci_C1_Y1_M5_L3: {'room': 'CB5.13', 'time': 'TUE15:15'}
Sci_C2_Y4_M1_L1: {'room': 'CB1.11', 'time': 'TUE10:15'}
Sci_C2_Y4_M1_L2: {'room': 'CB1.11', 'time': 'TUE11:15'}
Sci_C2_Y4_M1_L3: {'room': 'CB1.11', 'time': 'TUE12:15'}
Sci_C2_Y1_M4_L1: {'room': 'CB1.10', 'time': 'TUE10:15'}
Sci_C2_Y1_M4_L2: {'room': 'CB1.10', 'time': 'TUE11:15'}
Sci_C2_Y1_M4_L3: {'room': 'CB1.10', 'time': 'TUE12:15'}
Sci_C4_Y4_M1_L1: {'room': 'CB4.17', 'time': 'TUE13:15'}
Sci_C4_Y4_M1_L2: {'room': 'CB4.17', 'time': 'TUE14:15'}
Sci_C4_Y4_M1_L3: {'room': 'CB4.17', 'time': 'TUE15:15'}
Hum_C4_Y4_M1_L1: {'room': 'CB4.1', 'time': 'WED10:15'}
Hum_C4_Y4_M1_L2: {'room': 'CB4.1', 'time': 'WED11:15'}
Hum_C4_Y4_M1_L3: {'room': 'CB4.1', 'time': 'WED12:15'}
Hum_C4_Y2_M3_L1: {'room': 'CB2.6', 'time': 'TUE13:15'}
Hum_C4_Y2_M3_L2: {'room': 'CB2.6', 'time': 'TUE14:15'}
Hum_C4_Y2_M3_L3: {'room': 'CB2.6', 'time': 'TUE15:15'}
Hum_C1_Y4_M2_L1: {'room': 'CB1.12', 'time': 'TUE13:15'}
Hum_C1_Y4_M2_L2: {'room': 'CB1.12', 'time': 'TUE14:15'}
Hum_C1_Y4_M2_L3: {'room': 'CB1.12', 'time': 'TUE15:15'}
Sci_C2_Y1_M5_L1: {'room': 'CB1.11', 'time': 'TUE13:15'}
Sci_C2_Y1_M5_L2: {'room': 'CB1.11', 'time': 'TUE14:15'}
Sci_C2_Y1_M5_L3: {'room': 'CB1.11', 'time': 'TUE15:15'}
Sci_C1_Y4_M4_L1: {'room': 'CB1.10', 'time': 'TUE13:15'}
Sci_C1_Y4_M4_L2: {'room': 'CB1.10', 'time': 'TUE14:15'}
Sci_C1_Y4_M4_L3: {'room': 'CB1.10', 'time': 'TUE15:15'}
Sci_C1_Y4_M2_L1: {'room': 'CB3.1', 'time': 'WED10:15'}
Sci_C1_Y4_M2_L2: {'room': 'CB3.1', 'time': 'WED11:15'}
Sci_C1_Y4_M2_L3: {'room': 'CB3.1', 'time': 'WED12:15'}
Sci_C3_Y2_M3_L1: {'room': 'CB3.9', 'time': 'WED10:15'}
Sci_C3_Y2_M3_L2: {'room': 'CB3.9', 'time': 'WED11:15'}
Sci_C3_Y2_M3_L3: {'room': 'CB3.9', 'time': 'WED12:15'}
Sci_C1_Y4_M5_L1: {'room': 'CB5.12', 'time': 'WED13:15'}
Sci_C1_Y4_M5_L2: {'room': 'CB5.12', 'time': 'THU10:15'}
Sci_C1_Y4_M5_L3: {'room': 'CB5.12', 'time': 'THU11:15'}
Hum_C1_Y2_M1_L1: {'room': 'CB3.5', 'time': 'WED10:15'}
Hum_C1_Y2_M1_L2: {'room': 'CB3.5', 'time': 'WED11:15'}
Hum_C1_Y2_M1_L3: {'room': 'CB3.5', 'time': 'WED12:15'}
Hum_C1_Y4_M5_L1: {'room': 'CB5.13', 'time': 'WED10:15'}
Hum_C1_Y4_M5_L2: {'room': 'CB5.13', 'time': 'WED11:15'}
Hum_C1_Y4_M5_L3: {'room': 'CB5.13', 'time': 'WED12:15'}
Sci_C4_Y1_M4_L1: {'room': 'CB4.17', 'time': 'WED10:15'}
Sci_C4_Y1_M4_L2: {'room': 'CB4.17', 'time': 'WED11:15'}
Sci_C4_Y1_M4_L3: {'room': 'CB4.17', 'time': 'WED12:15'}
Hum_C2_Y2_M5_L1: {'room': 'CB2.6', 'time': 'WED10:15'}
Hum_C2_Y2_M5_L2: {'room': 'CB2.6', 'time': 'WED11:15'}
Hum_C2_Y2_M5_L3: {'room': 'CB2.6', 'time': 'WED12:15'}
Hum_C4_Y2_M1_L1: {'room': 'CB1.12', 'time': 'WED10:15'}
Hum_C4_Y2_M1_L2: {'room': 'CB1.12', 'time': 'WED11:15'}
Hum_C4_Y2_M1_L3: {'room': 'CB1.12', 'time': 'WED12:15'}
Hum_C4_Y1_M3_L1: {'room': 'CB1.11', 'time': 'WED10:15'}
Hum_C4_Y1_M3_L2: {'room': 'CB1.11', 'time': 'WED11:15'}
Hum_C4_Y1_M3_L3: {'room': 'CB1.11', 'time': 'WED12:15'}
Sci_C1_Y4_M1_L1: {'room': 'CB5.12', 'time': 'THU12:15'}
Sci_C1_Y4_M1_L2: {'room': 'CB5.12', 'time': 'THU13:15'}
Sci_C1_Y4_M1_L3: {'room': 'CB5.12', 'time': 'THU14:15'}
Sci_C2_Y4_M2_L1: {'room': 'CB1.10', 'time': 'WED10:15'}
Sci_C2_Y4_M2_L2: {'room': 'CB1.10', 'time': 'WED11:15'}
Sci_C2_Y4_M2_L3: {'room': 'CB1.10', 'time': 'WED12:15'}
Sci_C4_Y4_M2_L1: {'room': 'CB4.6', 'time': 'WED13:15'}
